Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
Hyena on the Keyboard: Pilot,Korean TV Show - 2017,2 episodes,"The Korean music industry is like a jungle. Only the artists who can offer quality music can survive and be loved by the people. On Hyena on the Keyboard, popular artists who represent Korea will show us how hit songs…",8.1
U Can U BIBI: Season 1,Chinese TV Show - 2014,26 episodes,"This is the first variety show in China focused exclusively on debate with the main goal of finding the best debater in China. Each week, a different debate topic is brought up and contestants are split into two teams…",8.3
My Brilliant Masters,Chinese TV Show - 2019,12 episodes,"Four young artists at different stages of life come to the top masters of different fields, live with them, and establish a positive outlook on life.

(Source: Google)",8.2
Music Bank in Chile,Korean TV Show - 2018,1 episodes,Overview not available,8.1
Go! B1A4: Road Trip,Korean TV Show - 2014,4 episodes,Overview not available,8.1
"Good Evening, Vice!",Filipino TV Show - 2011,435 episodes,"The ""unkabogable"" (unbeatable / untouchable) comedian Vice Ganda headlines this groundbreaking program that exudes the feel of a comedy bar and a television sitcom, the wit, and humor of a talk show, and the fun and…",8.2
Knights of the Lamp,Korean TV Show - 2023,6 episodes,"“Knights of the Lamp” is a travel variety show that highlights the unpredictable trip of the six “knights” to Saudi Arabia, the “land of mystery,” where they will embark on a journey to find a genie’s lamp…",8.1
"Keyakitte, Kakenai?",Japanese TV Show - 2015,253 episodes,"Keyakitte, Kakenai? is a Keyakizaka46 variety TV show featuring their Kanji and Hiragana members. It is hosted by Tsuchida Teruyuki and Sawabe Yuu.",8.1
Dunk of China,Chinese TV Show - 2018,12 episodes,"Jay Chou, Jeremy Lin, Li Yifeng & Guo Ailun are the basketball team leaders, gathering basketball fans from all over the world to stage the most popular basketball showdown. More than 160 young people who love basketball…",8.2
Star Road: Pentagon,Korean TV Show - 2019,24 episodes,Star Road returns with an in-depth look into K-Pop group Pentagon.,8.1
BTOB: The Beat Season 4,Korean TV Show - 2016,11 episodes,Overview not available,8.2
Nogizaka Star Tanjo!,Japanese TV Show - 2021,20 episodes,"So far, they have challenged themselves with ""wandering travel"" in ""Nogizaka Doko e"" and ""comedy"" in ""Nogizaka Skits"". The fourth generation, who are the future of Nogizaka46. The next challenge for these girls is...…",8.2
Talk with Toey Tonight,Thai TV Show - 2015,129 episodes,"Talk-with-Toey TONIGHT is a TV talk show where the host, Pompam Niti Chaichitatorn, invites celebrity guests for various purposes: interview, challenges, etc.",8.1
WayV Huya Super Idol League Live,Chinese TV Show - 2020,8 episodes,"6 members of WayV (excluding Ten), do Q&A sessions, drink orange juice, chat, sign merch and play PUBG (mobile game) for two fun-filled hours.",8.1
Unlimited Song Season,Chinese TV Show - 2018,14 episodes,"This is a reality TV show by Jiangsu Satellite TV, a professional musician and non-professional musicians to create new music. Currently, the official lineup of the ""Songs and Scholars"" guest lineup - Zhang Shaogang,…",7.8
Who Is the Wolf? Season 3,Japanese TV Show - 2018,9 episodes,"A romantic reality show that introduces high school girls, who want to fall in love, to men and follows the date. However, there is one man in the male's team who is labeled as Mr. ""Wolf” and the female team has to…",8.2
OTWOL Achieved! From Reel To Real,Filipino TV Show - 2016,1 episodes,"You've watched them fall in love over and over again in some of the most heartwarming dramas, now see the fairy tale come true as the hottest love team of 2015-2016 recount how their love affair on the reel crossed over…",8.1
10 Fight 10 Season 1,Thai TV Show - 2019,10 episodes,"Season 1 of 10 Fight 10 boxing event aired on Workpoint Entertainment on June 10, 2019. The event aired at 20:15 Thailand time. 

(Source: Super Smash Bros. Bowl Wiki)",8.1
Witch Hunt,Korean TV Show - 2013,123 episodes,"Four Korean celebrity men and guest stars from both genders discuss women, sex and relationship -- to an unprecedented degree of openness.

(Source: Netflix)",8.1
Chinese Restaurant Season 4,Chinese TV Show - 2020,12 episodes,"Chinese Restaurant Season 4 is a youth partner management experience program launched by Hunan Satellite TV. In the show, the partners drove the ""Chinese restaurant"" back to the country, starting from Badong, Hubei and…",8.1
Ride on Time Season 4,Japanese TV Show - 2021,20 episodes,"A Collaboration between J-storm and Fuji TV. Cameras work closely with an artist or the staff who creates a concert. It is a program that digs deeper into the theme as a ""continuous documentary"" that covers the same…",8.1
Candy in My Ear Season 1,Korean TV Show - 2016,12 episodes,"The new program has celebrities create bonds with strangers through conversations on the phone. The celebrities will reportedly create friendships with the strangers by revealing their inner secrets, dreams and worries.…",8.0
HT - N.Y. no Chushin de Nabe wo Tsutsuku,Japanese TV Show - 2010,1 episodes,Overview not available,7.9
Masked Dancing King Season 1,Chinese TV Show - 2020,10 episodes,Overview not available,8.1
NiziU Scout,Japanese TV Show - 2021,10 episodes,"NizU Scout is a reality and variety show where the members go through various challenges and missions to earn a badge. As it was explained in the first episode, the first member to earn 5 badges would be able to graduate…",8.1
Nogizaka Star Tanjo! 2,Japanese TV Show - 2021,20 episodes,The 4th generation of Nogizaka46 challenge the hit songs of Showa and Heisei era! Season 2 also includes special visits from Nogizaka46 senpais to sing along with the 4th generation! (Source: Nogizaka Star Tanjou official…,8.2
Law of the Jungle – Masters of Survival,Korean TV Show - 2021,3 episodes,"Law of the Jungle is a hybrid reality show combining elements of drama and documentary. The show is hosted by comedian Kim Byung Man, and each episode invites various celebrities from the various field. It has recently…",8.2
Family Growth Solution,Korean TV Show - 2020,10 episodes,A variety program that observes the family psychology that 'normal household' can empathize with in the daily life of a celebrity family.,8.1
Gaki no Tsukai No Laughing Batsu Game: Defense Force,Japanese TV Show - 2013,1 episodes,"The Gaki no Tsukai cast participate in the 7th annual punishment game (the 8th new years show in the No Laughing Series). This game implemented 250 CCD Cameras, 27 ENG units, 70 from technical staff and extra 210 people…",8.1
Drag Race Philippines Season 2,Filipino TV Show - 2023,10 episodes,Overview not available,8.1
MMMTV2,Korean TV Show - 2015,13 episodes,Mamamoo Tv season 2: The Everyday life of Beagle idols.,8.1
"Where Are We Going, Dad? Season 1",Chinese TV Show - 2013,12 episodes,"Based on the original South Korean reality show Dad! Where Are We Going?, the first season debuted on 11 October 2013 featuring five fathers and their children as they travel to rural places.",8.1
"1,2,3 IVE Season 3",Korean TV Show - 2023,7 episodes,"Following the two previous seasons, IVE raised expectations for a new season of ""1,2,3 IVE"" by reenacting the famous ""EXchange"" TV Show, but also playing games like ""generation quiz OLD AND NEW,"" ""IVE Arcade,"" ""IVE survival…",8.2
Law of the Jungle in Lost Jungle & Island,Korean TV Show - 2019,10 episodes,"Law of the Jungle is a South Korean reality-documentary show that airs on SBS. Each episode features celebrities sent to survive in remote locations around the world. The show was first aired on October 21, 2011. The…",8.1
Hyuna's Free Month,Korean TV Show - 2014,5 episodes,Sneak a peek into the busy life of K-Pop idol singer Hyuna! Find out what she's really like behind-the-camera as this reality-documentary series follows her along her work schedules and personal life in the month leading…,8.1
Beautiful Cooking Season 2,Hong Kong TV Show - 2009,28 episodes,"The game participants include three female Hong Kong celebrities, usually invited for their beauty or celebrity status, who are to cook for a panel of judges.

(Source: Wikipedia)",8.0
Grandpas Over Flowers: Season 2,Korean TV Show - 2013,5 episodes,"Produced by Na PD, this show is about 4 veteran actors traveling around the world with the help of a luggage boy a.k.a Lee Seo Jin with a limited budget.
Second season of the show is filmed in Taiwan.",8.1
Jung Yong Hwa's Hologram,Korean TV Show - 2015,4 episodes,Overview not available,8.2
Adventure by Accident,Korean TV Show - 2022,7 episodes,"No plan, a hard-work variety show documentary! Kian84 has been running nonstop in a patterned daily life for 10 years! He finds himself in a state of burnout and mannerism so he chose to find his real ""self"" by going…",8.0
The Harvest Season: The Season to Travel,Thai TV Show - 2021,10 episodes,A travel show where the mcs have fun with the guests,8.1
MTV B2ST,Korean TV Show - 2009,10 episodes,A documentary recording the story of BEAST/B2ST's debut.,8.1
Singer 2017,Chinese TV Show - 2017,14 episodes,"Singer 2017 is the first season of Chinese television series Singer, a rebranded version of I Am a Singer.",8.2
B1A4 One Fine Day,Korean TV Show - 2014,8 episodes,"B1A4 embarks on a trip to Tongyeong, Korea in order to rest and enjoy the delicious food and beautiful places. Also, they will encounter with unexpected problems which will make of their trip a memorable experience.",8.0
Fantastic Family - DNA Singer,Korean TV Show - 2022,19 episodes,"DNA Singers are family members of famous stars who take the stage to show off their singing skills. Through their voices and outward appearances alone, the panel must try to guess who the guests are related to. Lee Su…",8.0
ID:45,Chinese TV Show - 2020,8 episodes,"BOYSTORY is a six-member group under JYP Entertainment and Tencent Music Entertainment. The group contains Hanyu, Zihao, Xin Long, Zeyu, Ming Rui, and Shuyang. This show showcased the daily life of the group and brings…",8.1
Dear Friends,Chinese TV Show - 2020,12 episodes,"The companion show for VIP members consists of extended scenes from ""HAHAHAHAHA"" in the form of work journals.

(Source: iQiYi)",8.0
My English Puberty Season 2,Korean TV Show - 2018,10 episodes,"Season 2 of the education-variety program will be called 'My English Puberty - 100 Hours', with a brand new panel of stars including actress Kim Won Hee, actor Lee Jae Ryong, singer Kim Jong Min, beauty creator Risabae,…",8.1
We Kid,Korean TV Show - 2016,8 episodes,"Korea’s hottest stars and children work together to create new children's songs.
(Source:ondemandkorea)",8.1
Stayc's Pajama Party,Korean TV Show - 2021,3 episodes,Overview not available,8.0
U can U BIBI Season 7,Chinese TV Show - 2020,22 episodes,"U can U BIBI is China's first talk show and debate show, produced by iQiyi and Mi Wei Media. The show was is by Ma Dong, and has invited Cai Kang Yong, Xue Zhao Feng and others as guests.",8.2
Dear Future Diary Thailand,Thai TV Show - 2020,10 episodes,"With freshly aged faces, celebrities will time-travel thirty years into the future where they will do various activities and gain a new perspective on life. (Source: MyDramaList)",8.1
Idol Workshop: Fromis_9,Korean TV Show - 2022,5 episodes,Overview not available,8.0
2NE1 TV: Season 2,Korean TV Show - 2010,10 episodes,"Season 2 of the TV show about the girl-band 2NE1. Showing their lives, training time, holidays trip, music recording and many else.",8.1
